Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
85 and up,0.0,3.495512517713746,0.0,0.35511363636363635,0.5398110661268556,1.0361067503924646,3.751187084520418,0.0,0.0,1.6203703703703705,2.8358902835890283,3.6632891660171474,1.8172888015717092,0.3183791606367583,0.0,9.718969555035128,2.0202020202020203,0.0630715862503942,0.0,0,74,0,15,20,33,79,0,0,14,61,47,37,11,0,83,42,4,0,2014
0 to 4,6.989247311827957,7.386934673366834,2.586206896551724,3.1793229643183896,8.905228758169935,7.190160832544938,7.044749667700487,1.105263157894737,13.030035335689046,0.0,8.961593172119487,6.036745406824147,6.474820143884892,9.20592193808883,1.3237063778580025,2.9469548133595285,5.569245933957615,0.5711639394874961,7.649253731343284,78,147,18,139,327,228,159,42,295,0,189,92,144,342,11,30,113,37,82,2015
5 to 9,0.0,6.331658291457287,0.0,4.711802378774016,5.174291938997821,1.292967518133081,5.62693841382366,0.7105263157894737,4.858657243816254,0.0,3.0346135609293503,4.724409448818897,5.170863309352518,10.040376850605652,2.7677496991576414,1.1787819253438114,7.343518974864465,1.9759184933621488,5.317164179104478,0,126,0,206,190,41,127,27,110,0,64,72,115,373,23,12,149,128,57,2015
10 to 14,3.1362007168458783,3.0653266331658293,1.5804597701149425,3.293687099725526,5.90958605664488,3.3112582781456954,5.183872396987151,0.34210526315789475,8.171378091872791,0.0,3.6984352773826457,4.79002624671916,2.8776978417266186,4.925975773889637,10.348977135980746,1.37524557956778,4.68210941350419,1.7289286816918803,2.798507462686567,35,61,11,144,217,105,117,13,185,0,78,73,64,183,86,14,95,112,30,2015
15 to 19,3.4946236559139785,3.869346733668342,12.5,4.871912168344007,2.450980392156863,2.554399243140965,2.614089499335401,17.05263157894737,4.902826855123675,14.075067024128685,3.9355144618302513,2.8215223097112863,1.933453237410072,6.837146702557201,4.813477737665464,2.5540275049115913,2.562838836865451,15.158999691262736,0.8395522388059702,39,77,87,213,90,81,59,648,111,105,83,43,43,254,40,26,52,982,9,2015
20 to 24,14.336917562724015,4.472361809045226,40.08620689655172,4.84903934126258,8.360566448801743,9.145380006307159,3.4559149313247675,51.60526315789474,11.52826855123675,44.50402144772118,2.275960170697013,1.7060367454068242,4.946043165467626,5.383580080753701,22.262334536702767,7.760314341846758,6.209955643173977,53.34979932077802,11.567164179104477,160,89,279,212,307,290,78,1961,261,332,48,26,110,200,185,79,126,3456,124,2015
25 to 29,9.31899641577061,11.00502512562814,26.580459770114942,16.742909423604758,10.866013071895425,18.03847366761274,4.962339388568897,15.552631578947368,5.609540636042403,16.219839142091153,7.112375533428165,7.677165354330708,13.08453237410072,10.60565275908479,7.581227436823105,17.288801571709232,19.22129127649088,8.305032417412782,14.17910447761194,104,219,185,732,399,572,112,591,127,121,150,117,291,394,63,176,390,538,152,2015
30 to 34,12.903225806451612,10.50251256281407,8.764367816091953,10.407136322049405,13.534858387799565,14.79028697571744,3.898980948161276,4.552631578947368,5.9628975265017665,1.3404825737265416,11.2375533428165,15.485564304461942,8.767985611510792,11.33243606998654,6.257521058965103,12.082514734774067,5.86495810744209,2.037665946279716,8.115671641791044,144,209,61,455,497,469,88,173,135,10,237,236,195,421,52,123,119,132,87,2015
35 to 39,8.422939068100359,6.130653266331659,1.5804597701149425,7.410795974382434,7.434640522875817,3.0589719331441185,5.759858218874612,1.868421052631579,12.102473498233216,2.1447721179624666,11.616880037932669,13.451443569553806,10.881294964028777,5.895020188425303,5.535499398315283,5.304518664047151,9.709216362740266,1.9759184933621488,3.544776119402985,94,122,11,324,273,97,130,71,274,16,245,205,242,219,46,54,197,128,38,2015
40 to 44,3.942652329749104,4.221105527638191,1.5804597701149425,8.348581884720952,5.038126361655773,2.112898139388206,8.595480726628267,0.0,7.553003533568905,1.4745308310991958,6.970128022759602,12.204724409448819,10.971223021582734,5.975773889636608,10.830324909747292,5.50098231827112,6.505667816658453,3.241741278172275,0.0,44,84,11,365,185,67,194,0,171,11,147,186,244,222,90,56,132,210,0,2015
45 to 49,0.0,9.698492462311558,1.1494252873563218,7.753888380603843,8.442265795206971,5.581835383159887,7.842268498006203,1.263157894736842,7.773851590106007,0.0,6.353722143195827,4.4619422572178475,5.620503597122302,5.706594885598923,5.896510228640192,7.170923379174853,2.5135534746180386,1.667181228774313,9.514925373134329,0,193,8,339,310,177,177,48,176,0,134,68,125,212,49,73,51,108,102,2015
50 to 54,8.870967741935484,7.889447236180905,1.5804597701149425,7.365050320219579,8.169934640522875,6.149479659413434,5.538325210456358,2.026315789473684,1.4575971731448762,2.4128686327077746,7.396870554765291,2.8871391076115485,5.305755395683454,5.76043068640646,12.274368231046932,2.06286836935167,4.7313947757516015,1.821549861068231,5.7835820895522385,99,157,11,322,300,195,125,77,33,18,156,44,118,214,102,21,96,118,62,2015
55 to 59,13.709677419354838,5.9798994974874375,0.0,7.342177493138152,3.812636165577342,11.668243456322926,5.1395657953035006,1.9736842105263157,1.7226148409893993,4.557640750670242,6.87529634898056,3.608923884514436,8.723021582733812,5.598923283983849,6.979542719614922,0.9823182711198428,10.349926071956629,1.9450447669033653,13.805970149253731,153,119,0,321,140,370,116,75,39,34,145,55,194,208,58,10,210,126,148,2015
60 to 64,3.4946236559139785,5.8291457286432165,2.0114942528735633,2.8133577310155533,4.765795206971678,5.203405865657522,10.633584404076208,0.2631578947368421,4.991166077738516,6.702412868632708,7.112375533428165,6.561679790026247,4.451438848920863,6.6756393001345895,3.1287605294825513,4.2239685658153245,5.1749630359783145,2.037665946279716,8.582089552238806,39,116,14,123,175,165,240,10,113,50,150,100,99,248,26,43,105,132,92,2015
65 to 69,3.8530465949820787,2.3618090452261304,0.0,3.293687099725526,2.9411764705882355,2.1759697256385997,6.3358440407620735,0.2631578947368421,5.167844522968198,2.4128686327077746,2.9397818871503083,7.020997375328084,2.473021582733813,2.0457604306864066,0.0,6.18860510805501,3.2035485460818136,2.0531028095091077,0.9328358208955224,43,47,0,144,108,69,143,10,117,18,62,107,55,76,0,63,65,133,10,2015
