Industry,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year,Desc
Information,0.0,4.977777777777778,0.0,2.356202356202356,1.9026301063234472,2.0104895104895104,0.7915567282321899,2.421924792861695,0.0,1.8461538461538463,1.8452803406671399,2.2439024390243905,2.1907216494845363,2.515090543259557,0.0,3.255813953488372,3.042198233562316,2.722177742193755,2.4531024531024532,0,56,0,68,34,46,9,38,0,6,26,23,34,50,0,14,31,68,17,2017,Information
Finance & Insurance,3.5637149028077753,5.511111111111111,0.0,4.6084546084546085,1.0072747621712368,5.725524475524476,6.420404573438875,1.2746972594008923,0.0,0.0,2.0581973030518097,5.463414634146342,5.927835051546392,5.583501006036217,0.0,9.069767441860465,0.8832188420019627,4.123298638911129,0.8658008658008658,33,62,0,133,18,131,73,20,0,0,29,56,92,111,0,39,9,103,6,2017,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,7.883369330453564,23.377777777777776,14.285714285714286,12.785862785862786,9.289311695579183,10.008741258741258,15.479331574318381,4.270235818992989,10.151006711409396,8.307692307692308,19.94322214336409,16.0,14.368556701030927,12.022132796780683,10.16548463356974,17.441860465116278,18.940137389597645,7.405924739791834,13.708513708513708,73,263,25,369,166,229,176,67,121,27,281,164,223,239,43,75,193,185,95,2017,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,31.20950323974082,31.644444444444446,47.42857142857143,35.16978516978517,35.25461667599328,41.73951048951049,44.23922603342128,52.517527087316765,44.46308724832215,57.84615384615385,33.286018452803404,34.24390243902439,34.600515463917525,29.728370221327967,37.35224586288416,47.44186046511628,21.295387634936212,41.71337069655725,43.29004329004329,289,356,83,1015,630,955,503,824,530,188,469,351,537,591,158,204,217,1042,300,2017,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,18.14254859611231,1.6888888888888889,17.714285714285715,16.666666666666668,14.101846670397315,11.756993006993007,4.661389621811786,18.35564053537285,12.667785234899329,10.76923076923077,17.388218594748047,9.951219512195122,19.394329896907216,11.217303822937625,15.130023640661939,7.906976744186046,24.730127576054954,15.852682145716573,8.080808080808081,168,19,31,481,252,269,53,288,151,35,245,102,301,223,64,34,252,396,56,2017,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,7.1274298056155505,7.822222222222222,5.142857142857143,2.7027027027027026,7.8903189703413545,3.88986013986014,4.74934036939314,4.270235818992989,10.906040268456376,11.692307692307692,4.68417317246274,5.7560975609756095,2.963917525773196,7.494969818913481,7.5650118203309695,2.558139534883721,8.832188420019627,6.124899919935949,7.215007215007215,66,88,9,78,141,89,54,67,130,38,66,59,46,149,32,11,90,153,50,2017,Other Services
Public Administration,5.831533477321814,4.533333333333333,8.0,2.8066528066528065,3.357582540570789,5.594405594405594,1.7590149516270888,2.3581899298916507,1.4261744966442953,4.0,2.55500354861604,4.195121951219512,5.219072164948454,1.2072434607645874,2.8368794326241136,2.0930232558139537,2.060843964671246,3.602882305844676,4.040404040404041,54,51,14,81,60,128,20,37,17,13,36,43,81,24,12,9,21,90,28,2017,Public Administration
Agriculture,0.0,0.0,0.0,1.83585313174946,0.0,0.6657789613848203,0.0,1.6069221260815822,0.0,0.0,1.266713581984518,0.0,1.8387553041018387,0.0,0.0,0.0,0.0,0.40404040404040403,2.753623188405797,0,0,0,51,0,15,0,26,0,0,18,0,26,0,0,0,0,10,19,2018,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,2.289156626506024,4.772902232486528,0.0,4.643628509719222,7.60233918128655,2.263648468708389,2.680067001675042,0.0,3.5870516185476817,2.5936599423631126,6.826178747361014,0.0,1.1315417256011315,7.641819034224097,0.0,1.9723865877712032,5.072463768115942,1.97979797979798,1.3043478260869565,19,62,0,129,143,51,32,0,41,9,97,0,16,163,0,10,56,49,9,2018,Construction
Manufacturing,0.12048192771084337,6.620477290223248,2.6315789473684212,7.595392368610511,0.8506113769271664,2.0861074123391035,5.192629815745394,1.854140914709518,7.961504811898513,0.0,1.266713581984518,4.62046204620462,2.758132956152758,0.9845288326300985,2.863961813842482,0.0,4.438405797101449,3.313131313131313,1.3043478260869565,1,86,5,211,16,47,62,30,91,0,18,42,39,21,12,0,49,82,9,2018,Manufacturing
Wholesale,0.0,0.7698229407236336,0.0,1.2598992080633549,0.9037745879851143,2.8406569019085666,3.1825795644891124,2.533992583436341,0.0,0.0,0.5629838142153413,1.4301430143014302,0.49504950495049505,0.0,2.863961813842482,0.0,0.0,0.0,6.811594202898551,0,10,0,35,17,64,38,41,0,0,8,13,7,0,12,0,0,0,47,2018,Wholesale Trade
Retail,21.08433734939759,6.158583525789068,3.6842105263157894,9.503239740820735,13.503455608718767,10.20861074123391,12.479061976549414,7.169344870210136,2.1872265966754156,4.034582132564841,7.952146375791696,8.690869086908691,3.4653465346534653,21.425222691045477,7.159904534606206,2.9585798816568047,6.068840579710145,7.555555555555555,4.492753623188406,175,80,7,264,254,230,149,116,25,14,113,79,49,457,30,15,67,187,31,2018,Retail Trade
Transportation,0.0,0.7698229407236336,0.0,0.8639308855291576,5.103668261562999,0.0,0.6700167504187605,0.9888751545117429,0.0,0.0,2.533427163969036,1.4301430143014302,0.9193776520509194,1.0782934833567746,0.7159904534606205,0.0,2.989130434782609,3.111111111111111,4.057971014492754,0,10,0,24,96,0,8,16,0,0,36,13,13,23,3,0,33,77,28,2018,"Transportation,<br>Warehousing, Utilities"
Information,0.0,4.849884526558891,0.0,2.4478041756659468,2.1796916533758637,1.1540168664003552,0.7537688442211056,2.533992583436341,0.0,0.0,2.0408163265306123,4.29042904290429,2.758132956152758,2.8129395218002813,0.0,2.366863905325444,4.438405797101449,3.474747474747475,2.318840579710145,0,63,0,68,41,26,9,41,0,0,29,39,39,60,0,12,49,86,16,2018,Information
Finance & Insurance,3.253012048192771,3.695150115473441,0.0,4.7156227501799854,1.4354066985645932,5.326231691078562,5.443886097152429,0.9888751545117429,0.0,3.170028818443804,1.7593244194229416,6.16061606160616,6.435643564356436,7.172995780590718,5.250596658711217,9.467455621301776,1.539855072463768,3.757575757575758,0.8695652173913043,27,48,0,131,27,120,65,16,0,11,25,56,91,153,22,48,17,93,6,2018,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,8.674698795180722,20.1693610469592,14.210526315789474,11.627069834413247,8.240297713981924,11.584553928095872,19.01172529313233,4.573547589616811,12.42344706911636,8.645533141210375,15.904292751583393,18.701870187018702,13.224893917963225,9.142053445850914,18.13842482100239,16.962524654832347,19.293478260869566,9.292929292929292,13.623188405797102,72,262,27,323,155,261,227,74,142,30,226,170,187,195,76,86,213,230,94,2018,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,30.36144578313253,36.335642802155505,49.473684210526315,33.909287257019436,32.110579479000535,42.6098535286285,40.20100502512563,52.41038318912237,46.63167104111986,59.94236311239193,34.130893736805064,33.333333333333336,37.62376237623762,32.114392873886544,43.436754176610975,51.08481262327416,25.452898550724637,40.04040404040404,45.79710144927536,252,472,94,942,604,960,480,848,533,208,485,303,532,685,182,259,281,991,316,2018,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,20.0,3.233256351039261,15.789473684210526,15.622750179985601,14.40723019670388,11.939636040834444,4.355108877721943,16.872682323856612,13.298337707786526,13.256484149855908,18.08585503166784,12.871287128712872,19.165487977369164,8.438818565400844,12.171837708830548,11.045364891518737,17.119565217391305,17.737373737373737,7.391304347826087,166,42,30,434,271,269,52,273,152,46,257,117,271,180,51,56,189,439,51,2018,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,9.397590361445783,8.160123171670516,7.894736842105263,1.4038876889848813,9.994683678894205,3.5508211273857078,3.0150753768844223,5.7478368355995055,12.510936132983376,8.357348703170029,4.855735397607319,4.51045104510451,5.586987270155587,6.141584622597281,6.205250596658711,2.366863905325444,9.51086956521739,6.505050505050505,7.681159420289855,78,106,15,39,188,80,36,93,143,29,69,41,79,131,26,12,105,161,53,2018,Other Services
Public Administration,4.819277108433735,4.464973056197075,6.315789473684211,4.5716342692584595,3.668261562998405,5.770084332001775,3.0150753768844223,2.719406674907293,1.3998250218722659,0.0,2.8149190710767065,3.9603960396039604,4.596888260254597,3.0473511486169715,1.1933174224343674,1.7751479289940828,4.076086956521739,2.8282828282828283,1.5942028985507246,40,58,12,127,69,130,36,44,16,0,40,36,65,65,5,9,45,70,11,2018,Public Administration
Agriculture,0.0,0.0,0.0,1.616094986807388,0.0,0.691358024691358,0.0,1.3173652694610778,0.0,0.0,0.8438818565400844,0.0,2.02854996243426,0.0,0.0,0.0,0.0,0.0,2.1306818181818183,0,0,0,49,0,14,0,22,0,0,12,0,27,0,0,0,0,0,15,2019,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,2.0618556701030926,6.171809841534612,0.0,4.5514511873350925,8.695652173913043,3.506172839506173,4.18848167539267,0.0,2.0985401459854014,0.0,5.485232067510548,0.0,2.1788129226145756,5.322371267849416,0.0,2.5700934579439254,3.753910323253389,1.709712622771917,4.6875,16,74,0,138,164,71,48,0,23,0,78,0,29,123,0,11,36,47,33,2019,Construction
Manufacturing,0.12886597938144329,5.337781484570475,12.927756653992395,8.970976253298153,1.4846235418875928,2.271604938271605,5.322862129144852,0.8982035928143712,6.843065693430657,0.0,1.4064697609001406,3.400735294117647,2.4042073628850487,4.586758978797057,0.0,0.0,7.507820646506778,2.8010185522008,1.5625,1,64,34,272,28,46,61,15,75,0,20,37,32,106,0,0,72,77,11,2019,Manufacturing
Wholesale,0.0,0.0,0.0,0.758575197889182,1.1664899257688228,0.0,3.2286212914485164,1.377245508982036,0.0,0.0,2.390998593530239,1.9301470588235294,0.0,0.0,0.0,0.0,0.0,0.0,4.829545454545454,0,0,0,23,22,0,37,23,0,0,34,21,0,0,0,0,0,0,34,2019,Wholesale Trade
Retail,18.04123711340206,10.008340283569641,3.041825095057034,12.302110817941953,6.415694591728526,7.950617283950617,10.471204188481675,5.62874251497006,2.8284671532846715,3.676470588235294,8.931082981715893,10.661764705882353,2.479338842975207,13.111207269580268,5.913978494623656,3.5046728971962615,6.569343065693431,6.329574390687522,3.2670454545454546,140,120,8,373,121,161,120,94,31,15,127,116,33,303,22,15,63,174,23,2019,Retail Trade
Transportation,0.0,0.0,0.38022813688212925,0.3627968337730871,6.574761399787911,0.691358024691358,1.1343804537521816,0.0,0.0,0.0,1.6877637130801688,2.0220588235294117,0.0,1.6010385114668975,10.483870967741936,3.2710280373831777,3.1282586027111576,1.1276827937431793,3.409090909090909,0,0,1,11,124,14,13,0,0,0,24,22,0,37,39,14,30,31,24,2019,"Transportation,<br>Warehousing, Utilities"
Information,0.0,5.087572977481234,3.041825095057034,2.8693931398416885,1.855779427359491,4.0,0.7853403141361257,2.5748502994011977,0.0,1.2254901960784315,3.3052039381153304,2.6654411764705883,3.5311795642374153,1.4279532669839896,0.0,3.0373831775700935,5.005213764337852,3.2739177882866497,0.42613636363636365,0,61,8,87,35,81,9,43,0,5,47,29,47,33,0,13,48,90,3,2019,Information
Finance & Insurance,3.6082474226804124,2.2518765638031693,0.0,4.0237467018469655,2.4920466595970305,6.222222222222222,5.061082024432809,0.23952095808383234,0.9124087591240876,3.676470588235294,8.29817158931083,6.4338235294117645,6.6115702479338845,7.009952401557767,4.301075268817204,11.91588785046729,2.3983315954118876,3.346671516915242,0.9943181818181818,28,27,0,122,47,126,58,4,10,15,118,70,88,162,16,51,23,92,7,2019,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,10.051546391752577,15.679733110925772,20.53231939163498,12.137203166226913,7.688229056203605,12.0,17.277486910994764,5.688622754491018,12.043795620437956,11.519607843137255,10.970464135021096,21.59926470588235,17.58076634109692,10.990913024664648,17.741935483870968,24.53271028037383,13.034410844629823,9.057839214259731,11.931818181818182,78,188,54,368,145,243,198,95,132,47,156,235,234,254,66,105,125,249,84,2019,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,23.711340206185568,34.445371142618846,39.543726235741445,33.57519788918206,34.25238600212089,45.629629629629626,37.26003490401396,56.52694610778443,44.981751824817515,58.8235294117647,35.09142053445851,33.91544117647059,33.65890308039069,33.79489398528776,36.02150537634409,33.64485981308411,37.330552659019816,44.23426700618407,43.46590909090909,184,413,104,1018,646,924,427,944,493,240,499,369,448,781,134,144,358,1216,306,2019,"Educational Services,<br>Health Care & Social Assistance"
