Race,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
White,34.88642981945253,93.57840856212192,71.13636363636364,83.97166260792561,35.94867999013077,72.92263610315186,86.87640449438203,63.15645514223195,63.60640301318267,75.91397849462365,90.05795809184129,79.3010752688172,90.71146245059289,50.245098039215684,29.09090909090909,80.01686340640809,76.17107942973523,82.1610759004483,67.59517177344475,599,2011,626,3793,1457,2545,1933,2309,1351,706,2020,1180,1836,2050,224,949,1496,5315,728,2018
Black,49.79615608619685,1.814797580269893,5.681818181818182,14.611467788355103,56.674068591167035,11.375358166189113,4.674157303370786,9.135667396061269,23.305084745762713,2.795698924731183,8.024966562639323,11.559139784946236,3.0632411067193677,41.39705882352941,54.935064935064936,6.323777403035413,13.95112016293279,5.565002318750966,30.454967502321264,855,39,50,660,2297,397,104,334,495,26,180,172,62,1689,423,75,274,360,328,2018
Indigenous - Continental U.S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10940919037199125,0.0,0.0,0.0,0.0,0.0,2.5245098039215685,0.0,0.0,0.0,0.5565002318750966,0.18570102135561745,0,0,0,0,0,0,0,4,0,0,0,0,0,103,0,0,0,36,2,2018
Asian,13.628421665695981,3.2107957189390413,18.522727272727273,0.15497011290679655,4.120404638539354,9.426934097421203,5.842696629213483,23.27680525164114,7.109227871939736,16.559139784946236,0.7133303611234953,7.459677419354839,3.3596837944664033,0.36764705882352944,9.87012987012987,4.3844856661045535,7.637474541751527,9.429587262328026,0.8356545961002786,234,69,163,7,167,329,130,851,151,154,16,111,68,15,76,52,150,610,9,2018
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739247311827957,0.0,0.0,0.0,1.0118043844856661,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,2018
Some other race,0.0,0.09306654257794322,0.0,0.0,0.9869232667160128,0.5444126074498568,0.2696629213483146,0.437636761487965,0.0,0.0,0.0,0.6048387096774194,1.1363636363636365,0.5392156862745098,1.5584415584415585,0.0,0.0,0.30916679548616477,0.0,0,2,0,0,40,19,6,16,0,0,0,9,23,22,12,0,0,20,0,2018
Multiracial,1.68899242865463,1.3029315960912051,4.659090909090909,1.261899490812486,2.2699235134468294,5.730659025787966,2.337078651685393,3.8840262582056893,5.979284369114877,4.731182795698925,1.2037449843958983,0.33602150537634407,1.7292490118577075,4.926470588235294,4.545454545454546,8.263069139966273,2.240325865580448,1.9786674911114546,0.9285051067780873,29,28,41,57,92,200,52,142,127,44,27,5,35,201,35,98,44,128,10,2018
White,32.38390092879257,91.60117878192534,71.79203539823008,80.5168986083499,41.6135360470819,74.12383177570094,87.4770642201835,60.434423975804236,71.1905928466438,76.09561752988049,87.795444778685,85.35895986433013,88.49950641658441,52.84903518728717,38.0503144654088,87.53799392097264,67.24941724941725,80.7012241196917,62.89631533847472,523,1865,649,3645,1697,2538,1907,2198,1453,764,2043,1510,1793,2328,242,864,1154,5340,734,2019
Black,54.42724458204334,3.536345776031434,7.411504424778761,17.075325822840732,47.00833742030407,9.17056074766355,5.137614678899083,10.750618641737695,27.976482116609507,3.9840637450199203,7.434464976364418,10.570944036178632,2.7640671273445214,40.90805902383655,52.83018867924528,1.9250253292806485,19.23076923076923,6.150823636088862,34.10454155955441,879,72,67,773,1917,314,112,391,571,40,173,187,56,1802,336,19,330,407,398,2019
Indigenous - Continental U.S.,0.9287925696594427,0.0,0.0,0.3092555776452397,0.0,0.0,0.0,0.10998075336816057,0.0,0.0,0.0,0.0,0.0,0.8399545970488081,0.0,0.0,0.0,0.6045035514583648,0.4284490145672665,15,0,0,14,0,0,0,4,0,0,0,0,0,37,0,0,0,40,5,2019
Asian,8.730650154798761,3.487229862475442,17.699115044247787,0.0,7.037763609612555,9.929906542056075,4.3577981651376145,24.608193566125927,0.0,15.139442231075698,3.695745595186936,3.0525720746184284,3.504442250740375,0.9080590238365494,7.0754716981132075,2.634245187436677,9.265734265734265,10.548586972948467,0.5998286203941731,141,71,160,0,287,340,95,895,0,152,86,54,71,40,45,26,159,698,7,2019
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391746749576032,0.0,0.0,0.0,2.5329280648429586,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,2019
Some other race,0.0,0.0,0.0,0.0,1.0789602746444336,0.6133177570093458,1.4220183486238531,0.30244707176244157,0.0,0.0,0.0,0.5087620124364047,1.4313919052319841,0.43132803632236094,0.0,0.0,0.0,0.33247695330210064,0.0,0,0,0,0,44,21,31,11,0,0,0,9,29,19,0,0,0,22,0,2019
Multiracial,3.5294117647058822,1.37524557956778,3.0973451327433628,2.0985199911641264,3.2614026483570377,6.162383177570093,1.6055045871559632,3.7943359912015397,0.8329250367466928,4.780876494023905,1.0743446497636442,0.1695873374788016,3.8005923000987165,4.063564131668558,2.0440251572327046,5.369807497467072,4.2540792540792545,1.6623847665105032,1.9708654670094259,57,28,28,95,133,211,35,138,17,48,25,3,77,179,13,53,73,110,23,2019
White,34.6553966189857,95.90676520750426,74.51612903225806,82.08846990572879,35.19772776928119,73.79730596536241,91.39579349904398,55.27863343601232,74.97532082922014,85.98726114649682,86.17619493908154,85.35773710482529,90.87228560912772,51.6480965645311,42.51207729468599,97.46192893401015,61.77811550151976,75.71066704193639,77.66917293233082,533,1687,693,3396,1611,2301,1912,1974,1519,810,1839,1539,2469,2225,352,960,813,5380,1033,2020
Black,50.84525357607282,1.9329164297896533,7.419354838709677,15.784384819917815,53.22263491369893,9.557408595253367,5.11472275334608,10.921310557266873,19.842053307008886,3.397027600849257,6.091846298031865,9.92789794786467,2.42914979757085,38.602599814298976,44.44444444444444,0.0,25.379939209726444,9.541232761047002,10.451127819548873,782,34,69,653,2436,298,107,390,402,32,130,179,66,1663,368,0,334,678,139,2020
Indigenous - Continental U.S.,0.8452535760728218,0.0,0.0,0.45927000241721055,0.0,0.0,0.0,0.16802016241949033,0.0,0.0,0.0,0.0,0.0,1.0909935004642526,0.0,0.0,0.0,0.6895581198986772,0.9774436090225563,13,0,0,19,0,0,0,6,0,0,0,0,0,47,0,0,0,49,13,2020
Asian,9.947984395318596,0.511654349061967,15.483870967741936,1.015228426395939,6.030150753768845,8.082103912764593,2.0076481835564053,28.087370484458134,3.9486673247778876,7.218683651804671,5.998125585754452,3.2168607875762616,1.5090172984909827,4.410399257195914,1.2077294685990339,1.015228426395939,10.562310030395137,9.344216155361666,0.3007518796992481,153,9,144,42,276,252,42,1003,80,68,128,58,41,190,10,10,139,664,4,2020
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773155851358846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2020
Some other race,0.0,0.0,0.0,0.0,1.5075376884422111,1.2508017960230917,0.9082217973231358,0.39204704564547743,0.0,0.0,0.0,0.5546311702717692,0.736105999263894,0.5338904363974002,0.966183574879227,0.0,0.0,1.8857303687025049,0.0,0,0,0,0,69,39,19,14,0,0,0,10,20,23,8,0,0,134,0,2020
Multiracial,3.706111833550065,1.648664013644116,2.5806451612903225,0.6526468455402465,4.041948874808827,7.312379730596536,0.5736137667304015,5.152618314197704,1.2339585389930898,3.397027600849257,1.7338331771321462,0.6655574043261231,4.4534412955465585,3.714020427112349,10.869565217391305,1.5228426395939085,2.2796352583586628,2.8285955530537574,10.601503759398497,57,29,24,27,185,228,12,184,25,32,37,12,121,160,90,15,30,201,141,2020
