Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hillct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Wholesale,1.626860505,0.872410033,1.410105758,1.361947998,4.692891649,0,1.572052402,0,0.504540868,0,1.003344482,0,0,0,0,0,0,0,4.252199413,47,24,36,33,68,0,18,0,10,0,6,0,0,0,0,0,0,0,29,2017,Wholesale Trade
Retail,9.691934926,13.34060342,15.98119859,9.657449443,4.140786749,5.037313433,6.72489083,8.579599619,5.80221998,17.5787728,2.341137124,12.35741445,11.86736475,4.94966443,12.64367816,12.4301676,4.571428571,11.68091168,9.824046921,280,367,408,234,60,27,77,90,115,318,14,130,68,59,66,89,8,41,67,2017,Retail Trade
Transportation,1.557632399,4.180298073,1.018409714,2.930251754,2.622498275,0,1.484716157,2.85986654,0.706357215,1.160862355,0,1.711026616,0,1.258389262,0,2.653631285,0,0,0,45,115,26,71,38,0,17,30,14,21,0,18,0,15,0,19,0,0,0,2017,"Transportation,<br>Warehousing, Utilities"
Information,1.903772932,2.181025082,2.820211516,3.260420966,1.311249137,1.119402985,2.096069869,1.525262154,2.421796165,2.21116639,2.675585284,1.330798479,2.617801047,0,1.724137931,3.351955307,0,2.564102564,2.052785924,55,60,72,79,19,6,24,16,48,40,16,14,15,0,9,24,0,9,14,2017,Information
Finance & Insurance,5.295950156,1.708469647,2.546024285,0.619067272,4.623878537,0,2.270742358,1.620591039,6.609485368,4.145936982,6.35451505,9.030418251,19.89528796,0,0,5.027932961,0,6.837606838,1.759530792,153,47,65,15,67,0,26,17,131,75,38,95,114,0,0,36,0,24,12,2017,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,15.05711319,13.04980007,15.98119859,16.79735865,6.970324362,9.888059701,6.986899563,11.8207817,15.03531786,11.88501935,10.2006689,8.174904943,12.7399651,10.15100671,5.747126437,4.05027933,14.28571429,20.7977208,5.278592375,435,359,408,407,101,53,80,124,298,215,61,86,73,121,30,29,25,73,36,2017,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,35.79093112,34.16939295,33.64669017,34.91539414,45.75569358,56.90298507,48.64628821,46.32983794,37.3864783,31.78551686,35.28428094,34.41064639,26.70157068,44.46308725,38.69731801,28.77094972,47.42857143,43.58974359,49.26686217,1034,940,859,846,663,305,557,486,741,575,211,362,153,530,202,206,83,153,336,2017,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,13.70716511,15.30352599,6.267136702,15.68303756,12.1463078,9.888059701,14.23580786,11.53479504,16.90211907,13.54339414,18.39464883,15.20912548,10.29668412,12.66778523,24.13793103,23.60335196,17.71428571,1.994301994,23.02052786,396,421,160,380,176,53,163,121,335,245,110,160,59,151,126,169,31,7,157,2017,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,4.18830045,5.816066885,7.285546416,5.777961205,6.418219462,7.089552239,6.026200873,5.147759771,2.875882947,4.919845218,7.859531773,5.418250951,6.282722513,10.90604027,9.578544061,7.82122905,5.142857143,1.994301994,2.492668622,121,160,186,140,93,38,69,54,57,89,47,57,36,130,50,56,9,7,17,2017,Other Services
Public Administration,1.869158879,2.980734278,3.21190756,2.022286422,4.485852312,4.850746269,3.755458515,4.385128694,4.54086781,3.703703704,11.37123746,0,9.598603839,1.426174497,0.766283525,6.843575419,8,2.279202279,0,54,82,82,49,65,26,43,46,90,67,68,0,55,17,4,49,14,8,0,2017,Public Administration
Agriculture,0.802568218,0.530816868,0,0,0,0,0.982318271,0,0,1.838755304,0,0,0,2.753623188,0,0,3.556771546,5.555555556,0,15,18,0,0,0,0,10,0,0,26,0,0,0,19,0,0,26,51,0,2018,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,1.230604601,8.375110587,5.342501984,2.203742204,0,7.450980392,0.884086444,2.379664684,0.802675585,1.131541726,1.972386588,4.308390023,3.309692671,1.304347826,3.616636528,4.374057315,0,7.189542484,0,23,284,202,53,0,76,9,44,12,16,10,19,14,9,20,29,0,66,0,2018,Construction
Manufacturing,5.189941145,0.973164258,6.29463105,1.787941788,2.485966319,9.607843137,2.848722986,1.946998378,2.006688963,2.758132956,0,3.628117914,7.56501182,1.304347826,1.808318264,1.809954751,0,6.862745098,2.631578947,97,33,238,43,31,98,29,36,30,39,0,16,32,9,10,12,0,63,5,2018,Manufacturing
Wholesale,5.457463884,0.471837216,0,0.540540541,0,0,0,1.24391563,2.140468227,0.495049505,0,2.040816327,5.910165485,6.811594203,0,0,2.462380301,0,0,102,16,0,13,0,0,0,23,32,7,0,9,25,47,0,0,18,0,0,2018,Wholesale Trade
Retail,10.058855,13.12297257,7.69637662,13.18087318,13.15156375,7.450980392,2.259332024,17.0362358,5.016722408,3.465346535,2.958579882,6.575963719,7.80141844,4.492753623,6.50994575,11.46304676,7.934336525,12.41830065,3.684210526,188,445,291,317,164,76,23,315,75,49,15,29,33,31,36,76,58,114,7,2018,Retail Trade
Transportation,0.428036383,4.246534945,1.454641629,0.540540541,0,0.980392157,2.946954813,0.865332612,0.200668896,0.919377652,0,0,0,4.057971014,8.499095841,0,0,1.416122004,0,8,144,55,13,0,10,30,16,3,13,0,0,0,28,47,0,0,13,0,2018,"Transportation,<br>Warehousing, Utilities"
